,activation,num_layers,neurons_per_layer,n_iter_,best_loss_,rmse,misclassification_rate,elapsed_time
31,tanh,4,7,160,0.39769264997713394,0.41199950211570613,0.16974358974358972,0.8542046546936035
44,tanh,10,9,80,0.39815623261846966,0.4132423390327167,0.17076923076923078,0.9432103633880615
149,relu,10,10,124,0.39259658875153236,0.4132423390327167,0.17076923076923078,1.4924700260162354
46,tanh,4,10,240,0.39149617687697774,0.41386235789456777,0.17128205128205132,1.4124057292938232
125,relu,2,6,243,0.39750985441166853,0.41509961733021666,0.17230769230769227,0.8376986980438232
117,relu,6,4,244,0.39946114697078433,0.4157168661727749,0.1728205128205128,1.5164356231689453
115,relu,2,4,302,0.41305117185997764,0.41694862254977394,0.17384615384615387,0.9485220909118652
146,relu,4,10,122,0.39946175643030557,0.41694862254977394,0.17384615384615387,0.6993484497070312
118,relu,8,4,202,0.4064926604441026,0.4175631381707135,0.1743589743589744,1.5852453708648682
42,tanh,6,9,116,0.400265196182465,0.41817675075474353,0.17487179487179483,0.9025595188140869
72,identity,6,5,164,0.41661109142933106,0.41817675075474353,0.17487179487179483,0.9397938251495361
122,relu,6,5,313,0.39362104957200267,0.41817675075474353,0.17487179487179483,2.0871150493621826
135,relu,2,8,322,0.4068014644834409,0.41817675075474353,0.17487179487179483,1.1061232089996338
145,relu,2,10,201,0.4020002002839023,0.41817675075474353,0.17487179487179483,0.7516849040985107
47,tanh,6,10,102,0.3993393925539446,0.4187894642712677,0.17538461538461536,0.8092050552368164
48,tanh,8,10,108,0.39403170222408757,0.4187894642712677,0.17538461538461536,1.1064338684082031
132,relu,6,7,236,0.402632232421584,0.4187894642712677,0.17538461538461536,1.7278902530670166
12,tanh,6,3,129,0.40750612140955483,0.41940128266069465,0.1758974358974359,0.7980618476867676
59,identity,10,2,249,0.4139380098103495,0.41940128266069465,0.1758974358974359,1.9550487995147705
70,identity,2,5,290,0.41510901495629604,0.41940128266069465,0.1758974358974359,0.8713831901550293
76,identity,4,6,104,0.41769516406653107,0.41940128266069465,0.1758974358974359,0.4618828296661377
85,identity,2,8,235,0.4161004875163548,0.41940128266069465,0.1758974358974359,0.7372605800628662
126,relu,4,6,195,0.3915340530132637,0.41940128266069465,0.1758974358974359,0.9969797134399414
131,relu,4,7,140,0.4049029782356792,0.42001220983473375,0.17641025641025643,0.7360513210296631
147,relu,6,10,154,0.3916311752695901,0.42001220983473375,0.17641025641025643,1.2095410823822021
58,identity,8,2,226,0.41507380449401343,0.42062224967668665,0.17692307692307696,1.5239999294281006
60,identity,2,3,412,0.4173648429272,0.42062224967668665,0.17692307692307696,1.2280943393707275
65,identity,2,4,302,0.4137089298001094,0.42062224967668665,0.17692307692307696,0.8885538578033447
66,identity,4,4,209,0.4138992798260708,0.42062224967668665,0.17692307692307696,0.8964157104492188
133,relu,8,7,142,0.39982233314950455,0.4212314060417355,0.17743589743589738,1.2992167472839355
24,tanh,10,5,155,0.4005224089908587,0.42183968275722705,0.17794871794871792,1.5772922039031982
97,identity,6,10,142,0.4154130018688897,0.42183968275722705,0.17794871794871792,0.907874584197998
141,relu,4,9,167,0.39393395631100525,0.42183968275722705,0.17794871794871792,0.9309096336364746
40,tanh,2,9,193,0.4001458058508672,0.42244708362295325,0.17846153846153845,0.7090909481048584
41,tanh,4,9,112,0.40168088158698756,0.42244708362295325,0.17846153846153845,0.6353645324707031
22,tanh,6,5,203,0.4027336704608608,0.4230536124114283,0.17897435897435898,1.337346076965332
119,relu,10,4,141,0.40309445785625353,0.4230536124114283,0.17897435897435898,1.3255927562713623
100,relu,2,1,382,0.41124075990334746,0.4236592728681617,0.17948717948717952,1.1110341548919678
142,relu,6,9,116,0.3991042352251243,0.4236592728681617,0.17948717948717952,0.8814351558685303
143,relu,8,9,100,0.3909377064203655,0.4236592728681617,0.17948717948717952,0.9510788917541504
25,tanh,2,6,242,0.41117536097171253,0.4242640687119285,0.18000000000000005,0.8174469470977783
69,identity,10,4,93,0.4131498476848344,0.4242640687119285,0.18000000000000005,0.7883286476135254
77,identity,6,6,126,0.4167847984106601,0.4242640687119285,0.18000000000000005,0.7545766830444336
139,relu,10,8,89,0.40125771866293913,0.4242640687119285,0.18000000000000005,0.9585223197937012
50,identity,2,1,321,0.4134290611064572,0.42486800363503546,0.18051282051282047,0.8985567092895508
55,identity,2,2,517,0.41435244109122454,0.42486800363503546,0.18051282051282047,1.4997437000274658
130,relu,2,7,219,0.4018342677023514,0.42486800363503546,0.18051282051282047,0.7715098857879639
30,tanh,2,7,307,0.41022227874300343,0.4254710813035841,0.181025641025641,1.0728256702423096
62,identity,6,3,135,0.414973992287584,0.4254710813035841,0.181025641025641,0.7629201412200928
83,identity,8,7,79,0.4210158364352715,0.4254710813035841,0.181025641025641,0.5903582572937012
136,relu,4,8,114,0.3921494298686511,0.4254710813035841,0.181025641025641,0.6108713150024414
148,relu,8,10,95,0.4009094931596003,0.4254710813035841,0.181025641025641,0.9752383232116699
33,tanh,8,7,171,0.39537115455196625,0.42607330535773014,0.18153846153846154,1.559328556060791
74,identity,10,5,81,0.4192778265776458,0.42607330535773014,0.18153846153846154,0.6887142658233643
68,identity,8,4,152,0.4138357300674553,0.4266746794119403,0.18205128205128207,1.059652328491211
80,identity,2,7,273,0.416401967435867,0.4266746794119403,0.18205128205128207,0.8554360866546631
45,tanh,2,10,169,0.3986764935566443,0.42727520705524513,0.1825641025641026,0.6290910243988037
124,relu,10,5,66,0.4054351573349733,0.42727520705524513,0.1825641025641026,0.6670753955841064
27,tanh,6,6,149,0.4023288449159433,0.42787489185148864,0.18307692307692303,1.042959451675415
49,tanh,10,10,79,0.39778809721275793,0.42787489185148864,0.18307692307692303,0.9689948558807373
71,identity,4,5,206,0.4170562464454892,0.42787489185148864,0.18307692307692303,0.9088335037231445
95,identity,2,10,217,0.41600348468287046,0.42787489185148864,0.18307692307692303,0.6813719272613525
38,tanh,8,8,109,0.39757113184216963,0.42847373733957556,0.18358974358974356,0.9925093650817871
63,identity,8,3,73,0.41429374977512956,0.42847373733957556,0.18358974358974356,0.5124163627624512
79,identity,10,6,63,0.41450874364405804,0.42847373733957556,0.18358974358974356,0.5467760562896729
89,identity,10,8,118,0.41767356441378223,0.42907174703371476,0.1841025641025641,1.0458519458770752
137,relu,6,8,110,0.40622128038560507,0.42907174703371476,0.1841025641025641,0.781327486038208
36,tanh,4,8,175,0.40016186709429535,0.4296689244236597,0.18461538461538463,0.9272634983062744
84,identity,10,7,46,0.4214368758815601,0.4296689244236597,0.18461538461538463,0.4134383201599121
121,relu,4,5,372,0.40075115850139836,0.4296689244236597,0.18461538461538463,1.8374059200286865
138,relu,8,8,165,0.40888677692818476,0.4302652729749464,0.18512820512820516,1.499403715133667
61,identity,4,3,158,0.42243424266039004,0.4308607961291276,0.1856410256410257,0.6812002658843994
94,identity,10,9,45,0.42433357211712147,0.4308607961291276,0.1856410256410257,0.4230835437774658
16,tanh,4,4,150,0.40222125315170765,0.43145549730400484,0.18615384615384611,0.7018404006958008
20,tanh,2,5,200,0.40783028204800387,0.43145549730400484,0.18615384615384611,0.6516149044036865
67,identity,6,4,171,0.41421788826880035,0.43145549730400484,0.18615384615384611,0.9706761837005615
32,tanh,6,7,180,0.4042798396727231,0.43204937989385733,0.18666666666666665,1.2917344570159912
37,tanh,6,8,110,0.39648158029355957,0.43204937989385733,0.18666666666666665,0.7910370826721191
96,identity,4,10,96,0.42216426142111224,0.43204937989385733,0.18666666666666665,0.45380258560180664
99,identity,10,10,61,0.4230177049712834,0.43204937989385733,0.18666666666666665,0.5805644989013672
